,RMSE
0,0.06219098368398346
1,0.06219098368398346
2,0.06219098368398346
3,0.012118046194336592
4,0.012118046194336592
5,0.012118046194336592
6,0.012118046194336592
7,0.012118046194336592
8,0.012118046194336592
9,0.012118046194336592
10,0.007400153845179609
11,0.00717729072446624
12,0.006520474047441371
13,0.0051576029332136755
14,0.0051576029332136755
15,0.0051576029332136755
16,0.0051576029332136755
17,0.0051576029332136755
18,0.0051576029332136755
19,0.0051576029332136755
20,0.0051576029332136755
21,0.004470163421440041
22,0.004470163421440041
23,0.004470163421440041
24,0.004470163421440041
25,0.004470163421440041
26,0.004470163421440041
27,0.004470163421440041
28,0.004470163421440041
29,0.004470163421440041
30,0.004470163421440041
31,0.0042257397308459845
32,0.0042257397308459845
33,0.0042257397308459845
34,0.0042257397308459845
35,0.0042257397308459845
36,0.0042257397308459845
37,0.0042257397308459845
38,0.0042257397308459845
39,0.0042257397308459845
40,0.0042257397308459845
41,0.0042257397308459845
42,0.0042257397308459845
43,0.0042257397308459845
44,0.0042257397308459845
45,0.0042257397308459845
46,0.0042257397308459845
47,0.0042257397308459845
48,0.0042257397308459845
49,0.0042257397308459845
