,RMSE
0,2.470087595507536
1,2.470087595507536
2,2.470087595507536
3,0.5286427608423192
4,0.5286427608423192
5,0.5286427608423192
6,0.5286427608423192
7,0.5286427608423192
8,0.5286427608423192
9,0.5286427608423192
10,0.5286427608423192
11,0.24620285463468394
12,0.24620285463468394
13,0.24620285463468394
14,0.24620285463468394
15,0.24620285463468394
16,0.24620285463468394
17,0.24620285463468394
18,0.24620285463468394
19,0.2003077762655284
20,0.2003077762655284
21,0.2003077762655284
22,0.2003077762655284
23,0.2003077762655284
24,0.2003077762655284
25,0.2003077762655284
26,0.2003077762655284
27,0.2003077762655284
28,0.2003077762655284
29,0.2003077762655284
30,0.2003077762655284
31,0.2003077762655284
32,0.2003077762655284
33,0.2003077762655284
34,0.19262475172054092
35,0.19262475172054092
36,0.19262475172054092
37,0.19262475172054092
38,0.19262475172054092
39,0.19262475172054092
40,0.19262475172054092
41,0.19262475172054092
42,0.19262475172054092
43,0.19262475172054092
44,0.19262475172054092
45,0.19262475172054092
46,0.19262475172054092
47,0.19262475172054092
48,0.19262475172054092
49,0.19262475172054092
