,RMSE
0,0.6574207021847586
1,0.6574207021847586
2,0.5023542472858652
3,0.5023542472858652
4,0.5023542472858652
5,0.5023542472858652
6,0.5023542472858652
7,0.5023542472858652
8,0.5023542472858652
9,0.5023542472858652
10,0.49929998517302576
11,0.49929998517302576
12,0.49929998517302576
13,0.4749747397201021
14,0.4749747397201021
15,0.4749747397201021
16,0.4749747397201021
17,0.4749747397201021
18,0.4749747397201021
19,0.4749747397201021
20,0.4749747397201021
21,0.4749747397201021
22,0.4749747397201021
23,0.38557727573738987
24,0.38557727573738987
25,0.38557727573738987
26,0.38557727573738987
27,0.38557727573738987
28,0.38557727573738987
29,0.38557727573738987
30,0.38557727573738987
31,0.38557727573738987
32,0.38557727573738987
33,0.38557727573738987
34,0.38557727573738987
35,0.38557727573738987
36,0.36647722948626693
37,0.36647722948626693
38,0.36647722948626693
39,0.33619103324552413
40,0.33619103324552413
41,0.33619103324552413
42,0.33619103324552413
43,0.33619103324552413
44,0.33619103324552413
45,0.33619103324552413
46,0.33619103324552413
47,0.33619103324552413
48,0.33619103324552413
49,0.33619103324552413
