,RMSE
0,3.8675037502156746
1,3.8675037502156746
2,3.8675037502156746
3,1.3523260336716132
4,1.3523260336716132
5,1.3523260336716132
6,1.3523260336716132
7,1.3523260336716132
8,1.3523260336716132
9,1.3523260336716132
10,1.3523260336716132
11,1.1187484247140542
12,1.0895953269903156
13,0.9679658737011612
14,0.9679658737011612
15,0.8775631845580977
16,0.8775631845580977
17,0.8775631845580977
18,0.8736125758720745
19,0.8736125758720745
20,0.8736125758720745
21,0.8736125758720745
22,0.8736125758720745
23,0.8736125758720745
24,0.8736125758720745
25,0.8736125758720745
26,0.8736125758720745
27,0.8736125758720745
28,0.8736125758720745
29,0.8736125758720745
30,0.8736125758720745
31,0.8736125758720745
32,0.8736125758720745
33,0.8736125758720745
34,0.8736125758720745
35,0.8736125758720745
36,0.8736125758720745
37,0.8736125758720745
38,0.8736125758720745
39,0.8736125758720745
40,0.8736125758720745
41,0.8736125758720745
42,0.8736125758720745
43,0.8640312546904645
44,0.8640312546904645
45,0.8640312546904645
46,0.8640312546904645
47,0.8640312546904645
48,0.8640312546904645
49,0.8640312546904645
