,name,mse,mae,r2
0,RF_train,8.682135710088573e-11,4.5145657291558355e-05,0.9999946476628881
1,RF_test,1.3353006658844861e-05,0.03020765106365983,0.8952247365043163
2,RF_val,9.097413622624454e-06,0.023551576267639505,0.8630186246658257
3,XG_train,2.8882056460564386e-08,0.0013556534318695784,0.9988153040654403
4,XG_test,1.6073269231177446e-05,0.03084602181055482,0.9084121636235014
5,XG_val,1.0203791873547329e-05,0.02601472751377017,0.8960568914011072
6,融合模型_train,7.102107588451137e-11,6.902061286420496e-05,0.9999956917501504
7,融合模型_test,1.3693520580744098e-05,0.030385307671757424,0.9059328112728571
8,融合模型_val,9.767477388174864e-06,0.023986284859740737,0.8772854806075847
